index,page,anchor_y,no,hs_code,sku,code,qty,unit_price,amount,description
22,2,398.00,230,7326,700610,,2,6000.0,14400000.0,Bingkai Untuk 1-tombol
23,2,426.96,240,8536,301012,60,200,15668.92,3133784.0,Sakelar 1 Tombol 2 Arah (Metal Black)
24,2,457.11,250,8536,301026,60,8,37297.3,298378.4,Sakelar 1 Tombol Intermedi ate (Metal Black)
25,2,487.26,260,8536,301021,60,1,17533.78,17533780.0,Sakelar 2 Tombol 1 Arah (Metal Black)
26,2,517.41,270,8536,301022,60,100,20432.43,2043243.0,Sakelar 2 Tombol 2 Arah (Metal Black)
27,2,547.56,280,8536,301031,60,240,26959.46,6470270.4,Sakelar 3 Tombol 1 Arah (Metal Black)
28,2,577.70,290,8536,301032,60,40,31418.92,1256756.8,Sakelar 3 Tombol 2 Arah (Metal Black)
29,2,607.85,300,8536,301041,60,240,37297.3,8951352.0,Sakelar 4 Tombol 1 Arah (Metal Black)
30,2,636.81,310,8536,301021,,15,10641.89,159628350.0,Sakelar 2 Tombol 1 Arah
31,2,665.76,320,8536,301042,60,40,45405.41,1816216.4,Sakelar 4 Tombol 2 Arah (Metal Black)
32,2,694.71,330,8536,306301,60,50,22337.84,1116892.0,Sakelar Bell (Metal Black)
33,2,723.66,340,8536,301382B,60,200,25135.14,5027028.0,Stop Kontak Saklar (Metal Black)
34,2,753.81,350,8536,301089,60,200,25114.86,5022972.0,Stop Kontak Universal Dengan Sakelar (Metal Black)
35,3,69.95,360,8536,301687,60,1,16885.14,16885140.0,etal Black)
36,3,100.10,370,8536,306102,60,12,69790.54,837486.48,Peredup Lampu (Dimmer) 20 0W (Metal Black)
37,3,130.25,380,8536,30E201,60,12,69790.54,837486.48,Sakelar Pengatur Kipas Angin 200W (Metal Black)
38,3,159.20,390,8536,305111S,60,200,26250.0,5250000.0,Outlet TV (Metal Black)
39,3,188.15,400,8536,305214S,60,80,27121.62,2169729.6,Outlet Telepon RJ11 (Metal Black)
40,3,218.30,410,8536,305218S,60,200,38837.84,7767568.0,Outlet Data Cat.6 (Metal Black)
41,3,247.26,420,8536,301031,,800,20067.57,16054056.0,Sakelar 3 Tombol 1 Arah
42,3,276.21,430,7326,700630,26,400,27891.89,11156756.0,Bingkai Saklar 3-warna Putih (Graphite Black)
43,3,306.36,440,7326,700640,26,42,36486.49,1532432.58,Bingkai Saklar 4-warna Putih (Graphite Black)
44,3,336.51,450,7326,700650,26,24,45081.08,1081945.92,Bingkai Saklar 5-warna Putih (Graphite Black)
45,3,366.66,460,8536,701011,26,200,16783.78,3356756.0,Saklar 1-Tombol 1-Arah (Graphite Black)
46,3,396.81,470,8536,701012,26,100,21891.89,2189189.0,Saklar 1-Tombol 2-Arah (Graphite Black)
47,3,426.96,480,8536,701021,26,100,29675.68,2967568.0,Saklar 2-Tombol 1-Arah (Graphite Black)
48,3,457.11,490,8536,701022,26,100,37378.38,3737838.0,Saklar 2-Tombol 2-Arah (Graphite Black)
49,3,487.26,500,8536,301041,61,640,37297.3,23870272.0,Sakelar 4 Tombol 1 Arah (Smoky Grey)
50,3,517.41,510,8536,701031,26,100,48081.08,4808108.0,Saklar 3-Tombol 1-Arah (Graphite Black)
51,3,547.56,520,8536,701032,26,20,65270.27,1305405.4,Saklar 3-Tombol 2-Arah (Graphite Black)
52,3,577.70,530,8536,701041,26,100,57972.97,5797297.0,Saklar 4-Tombol 1-Arah (Graphite Black)
53,3,607.85,540,8536,701687,26,200,26594.59,5318918.0,Stop Kontak Tipe Schuko (Graphite Black)
54,3,638.00,550,8536,701382,26,100,34378.38,3437838.0,Stop Kontak Saklar (Graphite Black)
55,3,668.15,560,8536,701089,26,200,82459.46,16491892.0,Stop Kontak Universal Dengan Sakelar (Graphite Black)
56,3,697.11,570,8536,705111,26,100,89351.35,8935135.0,Outlet TV (Graphite Black)
57,3,726.06,580,8536,705218,26,20,110837.84,2216756.8,Outlet Data Cat.6 RJ45 (Grap hite Black)
58,3,756.21,590,8536,661011M,2B,60,46540.54,2792432.4,Saklar 1-Tombol 1-Arah (Metal)(Brushed Grey)
59,4,281.00,670,8536,581131,60,240,27567.57,6616216.8,Sakelar 3 Tombol 1 Arah (Metal Black)
60,4,311.15,680,8536,581132,60,40,32432.43,1297297.2,Sakelar 3 Tombol 2 Arah (Metal Black)
61,4,341.30,690,8536,581141,60,240,38918.92,9340540.8,Sakelar 4 Tombol 1 Arah (Metal Black)
62,4,371.45,700,8536,581142,60,40,47837.84,1913513.6,Sakelar 4 Tombol 2 Arah (Metal Black)
63,4,400.40,710,8536,586311,60,10,21081.08,210810.8,Sakelar Bell (Metal Black)
64,4,429.35,720,8536,581382,60,100,29594.59,2959459.0,Stop Kontak Saklar (Metal Black)
65,4,459.50,730,8536,581089,60,100,31216.22,3121622.0,Stop Kontak Universal Dengan Sakelar (Metal Black)
66,4,489.65,740,8536,581687,60,500,18243.24,9121620.0,Stop Kontak Tipe Schuko (Metal Black)
