display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT. Britoil Offshore Indonesia,buyer,18989277217000,IDN,4,,JL. TANJUNG RIAU Blok 000 No.000 RT:000 RW:000 Kel.TANJUNG RIAU Kec.SEKUPANG Kota/Kab.BATAM KEPULAUAN RIAU 29444,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Bimasakti Aneka Niaga,buyer,26027813407000,IDN,4,,RUKO SENTRA ANEKA NIAGA BLOK B NO.12-A Blok 000 No.000 RT:000 RW:000 Kel.PEJUANG Kec.MEDAN SATRIA Kota/Kab.BEKASI JAWA BARAT 17131,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Alfa Niaga Pratama,buyer,812651388625000,IDN,4,,DUSUN KRAJAN Blok 000 No.000 RT:024 RW:007 Kel.SUMBERANYAR Kec.PAITON Kota/Kab.PROBOLINGGO JAWA TIMUR 67291,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Bintang Obormas Jaya,buyer,13489521074000,IDN,4,,JL. PINTU AIR II Blok 000 No.27 RT:000 RW:000 Kel.KEBON KELAPA Kec.GAMBIR Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10120,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Prasad Seeds Indonesia,buyer,824944078624001,IDN,4,,JL.KRATON INDUSTRI RAYA Blok 000 No.15 RT:000 RW:000 Kel.CURAHDUKUH Kec.KRATON Kota/Kab.PASURUAN JAWA TIMUR 67151,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Ustegra,buyer,22887939415000,IDN,4,,JL. MERPATI RAYA Blok 000 No.22 RT:004 RW:003 Kel.SAWAH Kec.CIPUTAT Kota/Kab.TANGERANG SELATAN BANTEN 15413,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Indo Visa Mandiri,buyer,24267718077000,IDN,4,,JL. PENJERNIHAN I/48 LT.3 Blok C No.6 RT:000 RW:000 Kel.BENDUNGAN HILIR Kec.TANAH ABANG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10210,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Wahana Berkat Teknik,buyer,314821133435000,IDN,4,,WAHANA HARAPAN Blok C No.9/19 RT:004 RW:032 Kel.SETIA ASIH Kec.TARUMAJAYA Kota/Kab.BEKASI JAWA BARAT 17215,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Atmi Solo,buyer,31960321526000,IDN,4,,JL. MOJO Blok 000 No.1 RT:005 RW:007 Kel.KARANGANSEM Kec.LAWEYAN Kota/Kab.SURAKARTA JAWA TENGAH 57145,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Inoac Polytechno Indonesia,buyer,30073357074000,IDN,4,,KAWASAN BINTANG PUSPITA DWIKARYA Blok 000 No.000 RT:000 RW:000 Kel.WANASARI Kec.TELUK JAMBE BARAT Kota/Kab.KARAWANG JAWA BARAT 41361,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Citra Alexander Agung,buyer,21218060417000,IDN,4,,JL. BUKIT LOTUS Blok 000 No.8 RT:000 RW:000 Kel.KOTABUMI Kec.PURWAKARTA Kota/Kab.CILEGON BANTEN 42434,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Genika,buyer,24928400077000,IDN,4,,JL. BENDUNGAN HILIR RAYA Blok 000 No.17 RT:011 RW:001 Kel.BENDUNGAN HILIR Kec.TANAH ABANG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10210,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Santana Jaya,buyer,667220172601000,IDN,4,,PURWOSARI Blok 000 No.000 RT:002 RW:003 Kel.PURWOSARI Kec.PURWOSARI Kota/Kab.BOJONEGORO JAWA TIMUR 62161,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Alma Mandiri Sukses,buyer,313289886451000,IDN,4,,RUKO GOLDEN 8 Blok D No.07 RT:000 RW:000 Kel.GADING SERPONG Kec.PAKULONAN BARAT KELAPA DUA Kota/Kab.TANGERANG BANTEN 15811,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Kinematika Dinamika Utama,buyer,717524649026000,IDN,4,,JL. MANGGA DUA DALAM Blok D-1 No.101 RT:000 RW:000 Kel.MANGGA DUA SELATAN Kec.SAWAH BESAR Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10730,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Yokogawa Indonesia,buyer,10708709058000,IDN,4,,"GEDUNG PLAZA OLEOS LANTAI 3 UNIT A-H, JL.TB. SIMATUPANG Blok 000 No.53A RT:000 RW:000 Kel.KEBAGUSAN Kec.PASAR MINGGU Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12520",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Daya Perkasa Abadi,buyer,25051665028000,IDN,4,,JL. CITARUM Blok 000 No.8 RT:000 RW:000 Kel.CIDENG Kec.GAMBIR Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10150,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
